 TITLE = "turb_fld"
 VARIABLES = XC, YC, k, epsilon,  MUT
 ZONE T = " BL=           1  ",I=          102 ,J =          102
  0.995000E+00   0.500000E-02   0.000000E+00   0.000000E+00  -0.694094E+00
  0.100000E+01   0.500000E-02   0.000000E+00   0.000000E+00  -0.140845E+01
  0.000000E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.140845E+01
  0.500000E-02   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.150000E-01   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.250002E-01   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.350005E-01   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.450008E-01   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.550013E-01   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.650018E-01   0.150001E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.750025E-01   0.150001E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.850032E-01   0.150001E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.950041E-01   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.105005E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.115006E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.125007E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.135008E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.145010E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.155011E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.165013E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.175015E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.185016E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.195018E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.205020E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.215022E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.225024E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.235027E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.245029E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.255031E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.265034E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.275037E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.285039E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.295042E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.305045E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.315048E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.325051E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.335055E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.345058E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.355062E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.365065E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.375069E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.385073E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
  0.395076E+00   0.150000E-01   0.000000E+00   0.000000E+00  -0.694094E+00
