 TITLE = "yprofile"
 VARIABLES = X,U,V,T
 ZONE T =" yg=  0.500000000     , ib=           1 ",I=         102 ,J=           1
      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.10000000E+01
      0.49999999E-02      0.33882227E-01      0.11994525E+02      0.97677732E+00
      0.15000050E-01      0.23980390E+00      0.31098686E+02      0.93035483E+00
      0.25000200E-01      0.56798178E+00      0.45751240E+02      0.88418990E+00
      0.35000451E-01      0.91743666E+00      0.56376717E+02      0.83869082E+00
      0.45000799E-01      0.12164806E+01      0.63418888E+02      0.79437125E+00
      0.55001255E-01      0.14172221E+01      0.67346497E+02      0.75178885E+00
      0.65001808E-01      0.14896357E+01      0.68645409E+02      0.71148950E+00
      0.75002462E-01      0.14198346E+01      0.67803062E+02      0.67395836E+00
      0.85003212E-01      0.12082082E+01      0.65290291E+02      0.63958532E+00
      0.95004074E-01      0.86651492E+00      0.61544399E+02      0.60864151E+00
      0.10500503E+00      0.41452038E+00      0.56956001E+02      0.58127135E+00
      0.11500607E+00     -0.12322198E+00      0.51860714E+02      0.55749553E+00
      0.12500724E+00     -0.72019708E+00      0.46535805E+02      0.53722513E+00
      0.13500850E+00     -0.13502109E+01      0.41201012E+02      0.52028072E+00
      0.14500985E+00     -0.19890752E+01      0.36022606E+02      0.50641477E+00
      0.15501131E+00     -0.26156676E+01      0.31119576E+02      0.49533525E+00
      0.16501287E+00     -0.32125359E+01      0.26570690E+02      0.48672578E+00
      0.17501454E+00     -0.37660375E+01      0.22421938E+02      0.48026404E+00
      0.18501630E+00     -0.42662106E+01      0.18693535E+02      0.47563526E+00
      0.19501816E+00     -0.47064376E+01      0.15386215E+02      0.47254243E+00
      0.20502011E+00     -0.50830107E+01      0.12486653E+02      0.47071320E+00
      0.21502218E+00     -0.53945990E+01      0.99719486E+01      0.46990332E+00
      0.22502434E+00     -0.56417947E+01      0.78131719E+01      0.46989852E+00
      0.23502660E+00     -0.58266478E+01      0.59781566E+01      0.47051382E+00
      0.24502896E+00     -0.59522557E+01      0.44335694E+01      0.47159234E+00
      0.25503141E+00     -0.60224314E+01      0.31464067E+01      0.47300297E+00
      0.26503399E+00     -0.60414133E+01      0.20850499E+01      0.47463802E+00
      0.27503663E+00     -0.60136395E+01      0.12199264E+01      0.47641000E+00
      0.28503942E+00     -0.59435816E+01      0.52389956E+00      0.47824934E+00
      0.29504228E+00     -0.58356175E+01     -0.27525552E-01      0.48010173E+00
      0.30504525E+00     -0.56939402E+01     -0.45618093E+00      0.48192558E+00
      0.31504834E+00     -0.55224729E+01     -0.78130239E+00      0.48368979E+00
      0.32505149E+00     -0.53248854E+01     -0.10196553E+01      0.48537219E+00
      0.33505476E+00     -0.51045132E+01     -0.11857370E+01      0.48695776E+00
      0.34505814E+00     -0.48643932E+01     -0.12919716E+01      0.48843712E+00
      0.35506159E+00     -0.46072435E+01     -0.13489312E+01      0.48980552E+00
      0.36506516E+00     -0.43355064E+01     -0.13655454E+01      0.49106190E+00
      0.37506884E+00     -0.40513229E+01     -0.13493019E+01      0.49220783E+00
      0.38507259E+00     -0.37565937E+01     -0.13064474E+01      0.49324724E+00
