 TITLE = "CP"
 VARIABLES = i, XC, CP, CF, YPLUS
 ZONE T = " BL=           1 ,flg=           1  ",I=         100 ,J=           1
 96    0.94499874 64954.79687500  1915.30834961     0.10985815
 97    0.95499915 64586.63281250  1608.79785156     0.10068474
 98    0.96499956 64269.94531250  1218.14465332     0.08761175
 99    0.97499979 64041.87500000   763.74920654     0.06937266
100    0.98499995 63952.99218750   318.52667236     0.04480081
101    0.99500000 64022.70312500    42.12889481     0.01629307
 ZONE T = " BL=           1 ,flg=           2  ",I=         100 ,J=           1
  2    0.00500000 -6263.05273438   -42.14080429     0.01629539
  3    0.01500005 -6332.76757812  -318.56417847     0.04480349
  4    0.02500020 -6243.87304688  -763.83642578     0.06937668
  5    0.03500045 -6015.76562500 -1218.27270508     0.08761644
  6    0.04500080 -5699.04101562 -1608.95092773     0.10068963
  7    0.05500126 -5330.83789062 -1915.47607422     0.10986307
  8    0.06500181 -4937.77734375 -2137.12866211     0.11604561
  9    0.07500246 -4539.86328125 -2281.26928711     0.11989514
 10    0.08500321 -4151.45898438 -2359.13134766     0.12192407
 11    0.09500407 -3782.13671875 -2383.26953125     0.12254621
 12    0.10500503 -3437.69531250 -2365.88183594     0.12209838
 13    0.11500607 -3121.13281250 -2317.94604492     0.12085511
 14    0.12500724 -2833.41601562 -2248.85034180     0.11904018
 15    0.13500850 -2574.08398438 -2166.28173828     0.11683442
 16    0.14500985 -2341.73632812 -2076.33886719     0.11438327
 17    0.15501131 -2134.40625000 -1983.66516113     0.11180147
 18    0.16501287 -1949.82421875 -1891.68469238     0.10917865
 19    0.17501454 -1785.62500000 -1802.80444336     0.10658292
 20    0.18501630 -1639.48242188 -1718.61706543     0.10406457
 21    0.19501816 -1509.18554688 -1640.10656738     0.10165983
 22    0.20502011 -1392.70898438 -1567.77124023     0.09939274
 23    0.21502218 -1288.22070312 -1501.78808594     0.09727868
 24    0.22502434 -1194.09960938 -1442.08227539     0.09532534
 25    0.23502660 -1108.91992188 -1388.43566895     0.09353545
 26    0.24502896 -1031.44726562 -1340.53808594     0.09190792
 27    0.25503141  -960.61718750 -1298.01867676     0.09043860
 28    0.26503399  -895.51757812 -1260.50170898     0.08912203
 29    0.27503663  -835.36718750 -1227.61230469     0.08795165
 30    0.28503942  -779.50585938 -1199.00305176     0.08692075
 31    0.29504228  -727.36132812 -1174.35095215     0.08602255
 32    0.30504525  -678.44921875 -1153.36474609     0.08525044
 33    0.31504834  -632.35351562 -1135.80187988     0.08459888
 34    0.32505149  -588.71484375 -1121.44921875     0.08406267
 35    0.33505476  -547.22070312 -1110.13000488     0.08363735
 36    0.34505814  -507.59960938 -1101.70922852     0.08331954
 37    0.35506159  -469.60156250 -1096.07263184     0.08310612
 38    0.36506516  -433.00781250 -1093.14550781     0.08299507
 39    0.37506884  -397.61718750 -1092.87133789     0.08298466
 40    0.38507259  -363.23828125 -1095.22155762     0.08307385
 41    0.39507648  -329.69140625 -1100.18786621     0.08326198
 42    0.40508047  -296.80273438 -1107.77905273     0.08354874
 43    0.41508454  -264.39257812 -1118.02502441     0.08393423
 44    0.42508870  -232.28710938 -1130.96093750     0.08441840
 45    0.43509299  -200.31250000 -1146.63989258     0.08500156
 46    0.44509736  -168.28125000 -1165.12341309     0.08568391
 47    0.45510182  -135.99414062 -1186.47583008     0.08646549
 48    0.46510640  -103.25195312 -1210.77575684     0.08734643
 49    0.47511107   -69.83007812 -1238.09667969     0.08832642
 50    0.48511586   -35.49804688 -1268.51367188     0.08940481
 51    0.49512076     0.00000000 -1302.10168457     0.09058072
 52    0.50500250    36.47070312 -1338.48010254     0.09183734
 53    0.51488411    74.62695312 -1378.04577637     0.09318482
 54    0.52488887   115.29882812 -1421.44079590     0.09464066
 55    0.53489357   158.35351562 -1468.21679688     0.09618524
 56    0.54489815   204.17578125 -1518.38391113     0.09781469
 57    0.55490261   253.16406250 -1571.92395020     0.09952429
 58    0.56490695   305.75195312 -1628.78771973     0.10130843
 59    0.57491124   362.39453125 -1688.88928223     0.10316062
 60    0.58491540   423.58789062 -1752.09997559     0.10507340
 61    0.59491950   489.84765625 -1818.23779297     0.10703817
 62    0.60492349   561.72656250 -1887.05505371     0.10904496
 63    0.61492735   639.78515625 -1958.24084473     0.11108269
 64    0.62493110   724.61328125 -2031.40954590     0.11313893
 65    0.63493484   816.79101562 -2106.08764648     0.11519976
 66    0.64493835   916.93359375 -2181.71459961     0.11724985
 67    0.65494186  1025.60351562 -2257.62207031     0.11927213
 68    0.66494524  1143.37304688 -2333.05712891     0.12124840
 69    0.67494857  1270.75000000 -2407.14526367     0.12315851
 70    0.68495166  1408.21093750 -2478.90161133     0.12498070
 71    0.69495469  1556.11718750 -2547.22631836     0.12669140
 72    0.70495772  1714.73632812 -2610.94580078     0.12826622
 73    0.71496052  1884.23632812 -2668.76074219     0.12967856
 74    0.72496331  2064.58007812 -2719.30493164     0.13090080
 75    0.73496598  2255.58203125 -2761.15185547     0.13190416
 76    0.74496853  2456.83398438 -2792.83203125     0.13265869
 77    0.75497103  2667.69140625 -2812.87451172     0.13313386
 78    0.76497334  2887.27148438 -2819.82519531     0.13329825
 79    0.77497566  3114.38281250 -2812.31811523     0.13312069
 80    0.78497779  3347.60351562 -2789.11669922     0.13257043
 81    0.79497987  3585.19726562 -2749.12280273     0.13161652
 82    0.80498183  3825.17187500 -2691.50805664     0.13023004
 83    0.81498373  4065.29101562 -2615.70825195     0.12838313
 84    0.82498544  4303.12500000 -2521.48950195     0.12604974
 85    0.83498716  4536.05468750 -2409.02587891     0.12320662
 86    0.84498870  4761.40625000 -2278.91528320     0.11983327
