 TITLE = "RESIDUES"
 VARIABLES =ITER,CONT,UMOM,VMOM,TEMP
   1   0.704829E-01   0.906293E+01   0.263584E+00   0.639886E+01
   2   0.483945E-01   0.140899E+02   0.122272E+01   0.224526E+01
   3   0.266891E-01   0.104390E+02   0.119572E+01   0.111712E+01
   4   0.120032E-01   0.790607E+01   0.120573E+01   0.726728E+00
   5   0.106768E-01   0.724901E+01   0.122377E+01   0.553760E+00
   6   0.966496E-02   0.674427E+01   0.124823E+01   0.451485E+00
   7   0.895106E-02   0.637289E+01   0.127332E+01   0.385795E+00
   8   0.852786E-02   0.609978E+01   0.129739E+01   0.338202E+00
   9   0.818866E-02   0.587687E+01   0.132026E+01   0.302701E+00
  10   0.790752E-02   0.568948E+01   0.134187E+01   0.274680E+00
  11   0.766921E-02   0.552869E+01   0.136214E+01   0.252136E+00
  12   0.746308E-02   0.538816E+01   0.138111E+01   0.233445E+00
  13   0.728109E-02   0.526373E+01   0.139886E+01   0.217722E+00
  14   0.711680E-02   0.515304E+01   0.141547E+01   0.204253E+00
  15   0.696007E-02   0.505585E+01   0.143104E+01   0.192589E+00
  16   0.679027E-02   0.497687E+01   0.144566E+01   0.182366E+00
  17   0.656839E-02   0.493053E+01   0.145936E+01   0.173327E+00
  18   0.623503E-02   0.494211E+01   0.147222E+01   0.165270E+00
  19   0.572264E-02   0.504035E+01   0.148423E+01   0.158035E+00
  20   0.497715E-02   0.523807E+01   0.149536E+01   0.151497E+00
  21   0.398361E-02   0.551275E+01   0.150574E+01   0.145559E+00
  22   0.278202E-02   0.580633E+01   0.151555E+01   0.140135E+00
  23   0.148738E-02   0.604606E+01   0.152490E+01   0.135162E+00
  24   0.669994E-03   0.617112E+01   0.153427E+01   0.130582E+00
  25   0.156857E-02   0.614991E+01   0.154365E+01   0.126348E+00
  26   0.268630E-02   0.598515E+01   0.155309E+01   0.122421E+00
  27   0.363187E-02   0.571096E+01   0.156259E+01   0.118767E+00
  28   0.435658E-02   0.537686E+01   0.157204E+01   0.115357E+00
  29   0.486719E-02   0.503493E+01   0.158144E+01   0.112168E+00
  30   0.519598E-02   0.472707E+01   0.159071E+01   0.109176E+00
  31   0.538574E-02   0.447721E+01   0.159991E+01   0.106364E+00
  32   0.547904E-02   0.429059E+01   0.160898E+01   0.103716E+00
  33   0.551180E-02   0.415872E+01   0.161794E+01   0.101216E+00
  34   0.551220E-02   0.406659E+01   0.162672E+01   0.988515E-01
  35   0.550087E-02   0.399848E+01   0.163535E+01   0.966122E-01
  36   0.549439E-02   0.394034E+01   0.164376E+01   0.944865E-01
